year,yield_corn,yield_soybean,yield_wheat,49_0,49_1,49_2,49_3,49_4,65_0,65_1,65_2,65_3,65_4,81_0,81_1,81_2,81_3,81_4,97_0,97_1,97_2,97_3,97_4,113_0,113_1,113_2,113_3,113_4,129_0,129_1,129_2,129_3,129_4,145_0,145_1,145_2,145_3,145_4,161_0,161_1,161_2,161_3,161_4,177_0,177_1,177_2,177_3,177_4,193_0,193_1,193_2,193_3,193_4,209_0,209_1,209_2,209_3,209_4,225_0,225_1,225_2,225_3,225_4,241_0,241_1,241_2,241_3,241_4,257_0,257_1,257_2,257_3,257_4
2000,8.591008323,2.561341842,2.823926609,3721.0,50755.0,8987.0,649.0,1.0,2936.0,49920.0,10363.0,1121.0,1.0,2089.0,45075.0,14940.0,2304.0,4.0,1528.0,41223.0,18499.0,3238.0,6.0,485.0,33565.0,25101.0,5302.0,42.0,94.0,20688.0,29745.0,13825.0,143.0,121.0,15093.0,33378.0,15788.0,115.0,15.0,6682.0,32406.0,25079.0,313.0,40.0,3608.0,11501.0,44582.0,4764.0,82.0,3362.0,8758.0,29860.0,22433.0,189.0,3589.0,8947.0,23499.0,28271.0,403.0,6034.0,12406.0,26810.0,18842.0,380.0,8343.0,14887.0,36215.0,4670.0,638.0,13993.0,30788.0,18661.0,415.0
2001,8.673266259,2.663957741,2.701926998,6734.0,26499.0,4038.0,505.0,1.0,7338.0,33269.0,5270.0,698.0,3.0,6397.0,39500.0,8045.0,756.0,9.0,2170.0,44894.0,15333.0,1974.0,3.0,673.0,35272.0,24906.0,3575.0,67.0,166.0,24469.0,28483.0,11299.0,78.0,75.0,12359.0,33737.0,17961.0,363.0,73.0,7143.0,31646.0,25358.0,275.0,31.0,3968.0,9089.0,45098.0,6309.0,87.0,3913.0,7642.0,40711.0,12142.0,151.0,4092.0,7736.0,26961.0,25555.0,348.0,5268.0,11591.0,26652.0,20636.0,483.0,7360.0,13464.0,33863.0,9325.0,600.0,9861.0,24999.0,28843.0,192.0
2002,8.118009766,2.556752335,2.356827006,11084.0,45156.0,6888.0,543.0,5.0,14058.0,38310.0,6677.0,622.0,3.0,7300.0,43637.0,10852.0,851.0,6.0,2113.0,46195.0,14377.0,1779.0,11.0,1320.0,33622.0,24474.0,5019.0,38.0,714.0,27042.0,26112.0,10364.0,262.0,179.0,22390.0,28406.0,13331.0,189.0,162.0,7785.0,33927.0,22300.0,321.0,123.0,5011.0,17526.0,41052.0,783.0,160.0,4495.0,11493.0,36888.0,11459.0,245.0,5214.0,10901.0,28441.0,19694.0,360.0,5463.0,11765.0,25971.0,20936.0,340.0,5794.0,14753.0,35061.0,8547.0,383.0,7576.0,28344.0,27799.0,393.0
2003,8.924730059,2.276951926,2.971267579,23726.0,25381.0,6195.0,742.0,4.0,12201.0,43566.0,6543.0,845.0,5.0,2803.0,48105.0,11790.0,1729.0,7.0,1037.0,44360.0,15628.0,3442.0,19.0,136.0,33340.0,23277.0,7674.0,68.0,54.0,22055.0,29771.0,12321.0,294.0,165.0,13950.0,33575.0,16556.0,249.0,23.0,4316.0,32464.0,27410.0,282.0,23.0,3668.0,14564.0,45240.0,1000.0,60.0,4823.0,8615.0,37001.0,13996.0,141.0,5521.0,9390.0,26340.0,23103.0,257.0,7141.0,12864.0,25730.0,18503.0,518.0,8461.0,15339.0,37214.0,2963.0,571.0,10172.0,30737.0,22272.0,743.0
2004,10.06362843,2.840494487,2.902680249,10677.0,31355.0,3923.0,694.0,4.0,6266.0,42637.0,7386.0,731.0,7.0,3558.0,48348.0,11314.0,1049.0,5.0,1286.0,42574.0,18079.0,2521.0,35.0,375.0,32621.0,24256.0,7112.0,131.0,82.0,25524.0,26064.0,12493.0,330.0,34.0,15499.0,30764.0,17758.0,440.0,30.0,5890.0,22259.0,35334.0,982.0,16.0,3432.0,14737.0,43223.0,3087.0,34.0,2296.0,8512.0,33458.0,20195.0,124.0,3138.0,8678.0,24901.0,27654.0,211.0,3524.0,10226.0,26726.0,23808.0,408.0,4501.0,13096.0,32124.0,14366.0,261.0,7232.0,25127.0,31447.0,428.0
2005,9.285272542,2.896129569,2.823189978,14290.0,36967.0,7268.0,951.0,26.0,11049.0,42327.0,7635.0,980.0,49.0,3016.0,48362.0,11310.0,1524.0,35.0,597.0,41609.0,19393.0,2831.0,62.0,168.0,30650.0,27841.0,5730.0,106.0,64.0,24336.0,31036.0,8907.0,152.0,40.0,13585.0,33927.0,16805.0,138.0,9.0,3809.0,25900.0,34499.0,278.0,42.0,3723.0,8414.0,46682.0,5634.0,104.0,2984.0,8436.0,32471.0,20500.0,205.0,3875.0,10381.0,26478.0,23556.0,317.0,4185.0,11391.0,26934.0,21668.0,437.0,4904.0,12800.0,40002.0,6352.0,463.0,8290.0,34764.0,20884.0,94.0
2006,9.357832505,2.881782047,2.598711653,12382.0,38977.0,6303.0,330.0,0.0,7327.0,42828.0,7818.0,637.0,1.0,3716.0,46935.0,11428.0,976.0,4.0,926.0,43764.0,17887.0,1879.0,14.0,240.0,31013.0,27618.0,5565.0,59.0,115.0,23172.0,29395.0,11700.0,113.0,70.0,15254.0,34138.0,14890.0,143.0,21.0,6060.0,31226.0,27009.0,179.0,31.0,4774.0,11356.0,45773.0,2561.0,48.0,5045.0,10074.0,30629.0,18699.0,126.0,6741.0,11821.0,22654.0,23153.0,192.0,7041.0,11951.0,22197.0,23114.0,355.0,6523.0,12313.0,34096.0,11208.0,328.0,8673.0,24508.0,30668.0,318.0
2007,9.458416633,2.806695173,2.704636853,16703.0,23991.0,5082.0,211.0,1.0,7773.0,42830.0,6510.0,509.0,3.0,4127.0,40440.0,16104.0,3638.0,22.0,1331.0,40554.0,19250.0,3278.0,34.0,111.0,32107.0,27344.0,4856.0,77.0,66.0,21174.0,31478.0,11699.0,78.0,30.0,7609.0,35502.0,21178.0,176.0,23.0,3513.0,27410.0,33281.0,268.0,30.0,2698.0,9406.0,45198.0,7163.0,43.0,2648.0,9384.0,37589.0,14831.0,112.0,3421.0,11126.0,30493.0,19343.0,247.0,4842.0,11850.0,29880.0,17676.0,445.0,5811.0,14983.0,37890.0,5366.0,678.0,9561.0,33176.0,21035.0,45.0
2008,9.621052963,2.671861558,3.014640385,17349.0,23518.0,6655.0,424.0,4.0,13611.0,36817.0,7487.0,589.0,6.0,7609.0,45656.0,9136.0,1008.0,6.0,2784.0,46849.0,12139.0,2419.0,4.0,947.0,38088.0,21075.0,4364.0,6.0,246.0,27990.0,25764.0,10407.0,88.0,30.0,21159.0,27756.0,15430.0,120.0,63.0,8432.0,33725.0,22127.0,148.0,74.0,4167.0,19329.0,40090.0,835.0,118.0,3503.0,10481.0,42187.0,8206.0,172.0,4281.0,9066.0,27600.0,23376.0,235.0,4807.0,8396.0,27414.0,23643.0,406.0,4997.0,11479.0,33755.0,13858.0,597.0,5954.0,19328.0,37610.0,1006.0
2009,10.31803911,2.959523732,2.980515617,12880.0,37660.0,3985.0,584.0,2.0,6228.0,43122.0,6587.0,593.0,4.0,4004.0,41618.0,10422.0,995.0,6.0,3063.0,48091.0,11699.0,1312.0,26.0,521.0,40708.0,18847.0,4341.0,33.0,189.0,26655.0,27846.0,9672.0,133.0,89.0,19701.0,30338.0,14125.0,242.0,30.0,6264.0,30047.0,27805.0,348.0,37.0,3846.0,17836.0,40967.0,1809.0,78.0,3545.0,7180.0,36354.0,17338.0,214.0,3205.0,7201.0,26400.0,27475.0,326.0,3533.0,8136.0,22495.0,30005.0,401.0,4613.0,10750.0,28890.0,19841.0,414.0,6262.0,21122.0,36048.0,649.0
